Consulta,factor 01,factor 03,factor 1,factor 3
1,0.039,0.029000000000000001,0.17399999999999999,0.10600000000000000
2,0.025999999999999999,0.027,0.38100000000000001,0.21299999999999999
3,0.065000000000000002,0.033000000000000002,0.39100000000000001,0.76400000000000001
4,0.034000000000000002,0.060999999999999999,0.33800000000000002,0.212
5,0.01,0.028000000000000001,0.20499999999999999,0.01300000000000000
6,0.029000000000000001,0.012999999999999999,0.025999999999999999,0.348
7,0.075999999999999998,0.062,0.63800000000000001,0.40699999999999997
8,0.316,0.031,0.23100000000000001,0.44800000000000001
9,0.028000000000000001,0.028000000000000001,0.38800000000000001,0.70999999999999996
10,0.27900000000000003,0.060999999999999999,0.32200000000000001,0.22
11,0.031,0.033000000000000002,0.23999999999999999,0.35499999999999998
12,0.034000000000000002,0.035000000000000003,0.23000000000000001,0.38500000000000001
13,0.035999999999999997,0.029999999999999999,0.28699999999999998,0.52400000000000002
14,CORE DUMPED,CORE DUMPED,CORE DUMPED,CORE DUMPED
15,Memory limit,Memory limit,Memory limit,Memory limit
16,Memory limit,Memory limit,Memory limit,Memory limit
17,Memory limit,Memory limit,Memory limit,Memory limit
18,Memory limit,Memory limit,Memory limit,Memory limit
19,TIMEOUT,TIMEOUT,0.48399999999999999,1.26899999999999991
20,0.045999999999999999,0.047,0.48899999999999999,1.078
21,TIMEOUT,0.050000000000000003,4.806,28.94
22,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
23,TIMEOUT,0.042999999999999997,Memory limit,Memory limit
24,TIMEOUT,TIMEOUT,Memory limit,Memory limit
25,0.037999999999999999,0.050999999999999997,0.017000000000000001,0.010
26,0.027,0.049000000000000002,0.010999999999999999,0.0050000000000000001
27,0.028000000000000001,0.032000000000000001,0.20100000000000001,0.39800000000000002
28,0.027,0.032000000000000001,0.21299999999999999,0.343
29,0.031,0.012999999999999999,0.033000000000000002,0.013
30,0.029000000000000001,0.012999999999999999,0.027,0.346
31,CORE DUMPED,CORE DUMPED,0.057000000000000002,CORE DUMPED
32,0.012,Memory limit,CORE DUMPED,0.17399999999999999
33,Memory limit,0.0070000000000000001,Memory limit,Memory limit
34,CORE DUMPED,0.031,0.27700000000000002,0.67400000000000004
35,0.036999999999999998,CORE DUMPED,CORE DUMPED,CORE DUMPED
36,Memory limit,Memory limit,Memory limit,Memory limit
37,Memory limit,Memory limit,Memory limit,Memory limit
38,Memory limit,Memory limit,Memory limit,Memory limit
39,Memory limit,Memory limit,Memory limit,Memory limit
40,TIMEOUT,TIMEOUT,0.52600000000000002,1.27699999999999991
41,0.047,0.050000000000000003,0.55700000000000005,1.156
42,TIMEOUT,0.050999999999999997,5.6020000000000003,1.206000000000000
43,TIMEOUT,TIMEOUT,TIMEOUT,28.173999999999999
44,TIMEOUT,TIMEOUT,Memory limit,TIMEOUT
45,TIMEOUT,TIMEOUT,Memory limit,Memory limit
46,CORE DUMPED,CORE DUMPED,0.071999999999999995,0.174
47,0.014999999999999999,Memory limit,CORE DUMPED,CORE DUMPED
48,Memory limit,0.0080000000000000002,Memory limit,Memory limit
49,0.056000000000000001,0.039,0.498,1.221
50,0.062,0.042000000000000003,0.52600000000000002,1.13900000000000001
51,TIMEOUT,0.056000000000000001,TIMEOUT,TIMEOUT
52,0.078,TIMEOUT,0.98699999999999999,TIMEOUT
53,TIMEOUT,TIMEOUT,0.87,2.9070000000000000
54,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
55,0.059999999999999998,0.045999999999999999,0.088999999999999996,0.152
56,0.045999999999999999,0.041000000000000002,0.25800000000000001,0.37600000000000000
57,0.058000000000000003,0.039,0.20799999999999999,0.34300000000000003
58,0.056000000000000001,0.041000000000000002,0.19700000000000001,0.93100000000000005
59,0.033000000000000002,0.028000000000000001,0.11,0.20
60,0.023,0.016,0.080000000000000002,0.1
61,0.01,0.0040000000000000001,0.0089999999999999993,0.003
62,0.010999999999999999,0.0040000000000000001,0.0089999999999999993,0.003
63,0.012,0.0070000000000000001,0.01,0.0020000000000000000
64,0.01,0.0089999999999999993,0.0089999999999999993,0.004
65,0.012,0.0040000000000000001,0.017999999999999999,0.0050000000000000001
66,0.010999999999999999,0.0040000000000000001,0.019,0.0050000000000000001
67,0.012,0.0040000000000000001,0.0080000000000000002,0.003
68,0.012999999999999999,0.0040000000000000001,0.0080000000000000002,0.002
69,0.012999999999999999,0.0070000000000000001,0.0089999999999999993,0.001
70,0.01,0.0080000000000000002,0.0089999999999999993,0.002
71,0.014,0.01,0.010999999999999999,0.0050000000000000001
72,0.0089999999999999993,0.0089999999999999993,0.019,0.0050000000000000001
73,0.012,0.0040000000000000001,0.0089999999999999993,0.003
74,0.0089999999999999993,0.0040000000000000001,0.0089999999999999993,0.002
75,0.012,0.0089999999999999993,0.010999999999999999,0.0030000000000000001
76,0.012999999999999999,0.010999999999999999,0.010999999999999999,0.0050000000000000001
77,0.01,0.010999999999999999,0.014,0.0040000000000000001
78,0.014,0.0040000000000000001,0.017999999999999999,0.0040000000000000001
79,0.016,0.012999999999999999,0.049000000000000002,0.109000000000000000
80,0.017000000000000001,0.012,0.050000000000000003,0.119999999999999996
81,0.012999999999999999,CORE DUMPED,0.051999999999999998,0.105999999999999997
82,CORE DUMPED,CORE DUMPED,CORE DUMPED,CORE DUMPED
83,0.021999999999999999,0.01,0.050999999999999997,0.104999999999999996
84,0.017000000000000001,0.0060000000000000001,0.065000000000000002,0.10900000000000000
85,0.0089999999999999993,0.0040000000000000001,0.0080000000000000002,0.0030000000000000001
86,0.01,0.0040000000000000001,0.0089999999999999993,0.003
87,0.012,0.010999999999999999,0.0089999999999999993,0.0050000000000000001
88,0.0089999999999999993,0.01,0.010999999999999999,0.0030000000000000001
89,0.012,0.0050000000000000001,0.017999999999999999,0.0050000000000000001
90,0.012,0.0040000000000000001,0.019,0.0050000000000000001
91,0.014999999999999999,0.0070000000000000001,0.062,0.10
92,0.014,0.014999999999999999,0.063,0.113
93,0.012999999999999999,0.012999999999999999,0.059999999999999998,0.111
94,0.014999999999999999,0.016,0.059999999999999998,0.12200000000000000
95,3.9689999999999999,0.012999999999999999,Memory limit,Memory limit
96,Memory limit,0.017000000000000001,Memory limit,Memory limit
97,0.021000000000000001,0.0070000000000000001,0.072999999999999995,0.22300000000000000
98,0.023,0.0060000000000000001,0.069000000000000006,0.13100000000000001
99,0.017000000000000001,0.012,0.069000000000000006,0.16700000000000001
100,0.021999999999999999,0.012,0.067000000000000004,0.202
101,0.017999999999999999,0.0060000000000000001,0.074999999999999997,0.21
102,0.021000000000000001,0.0050000000000000001,0.078,0.13100000000000001
103,0.016,0.0060000000000000001,0.076999999999999999,0.17499999999999999
104,0.016,0.016,0.091999999999999998,0.15200000000000000
105,0.017999999999999999,0.012999999999999999,0.085000000000000006,0.14799999999999999
106,0.02,0.017000000000000001,0.069000000000000006,0.13200000000000001
107,4.2359999999999998,Memory limit,Memory limit,Memory limit
108,Memory limit,Memory limit,Memory limit,Memory limit
